"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Burundi","BDI","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","2.80335998535156","","3.34676003456116","","","","","","","","","3.35932993888855","3.49365997314453","3.8058500289917","","4.565269947052","5.01511001586914","4.08324003219604","","","3.41744995117188","2.64548","2.90391","3.00493","","3.74496","3.63216","","","5.1929","6.17195","6.77525","6.31925","6.16786","5.99536","6.78452","6.37054","4.69272","4.76183","","",
"Belgium","BEL","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","5.7321400642395","5.70053005218506","5.95694017410278","5.40740013122559","5.35169982910156","5.2823600769043","5.40638017654419","5.2884202003479","","","","4.82645988464355","4.55276012420654","4.27782011032104","","","","","5.34370994567871","5.38222980499268","2.97274994850159","3.02610993385315","","","","","","","","","5.76901","","","6.29139","6.41536","6.40799","6.37874","","6.63966","6.63852","6.54091","6.54428","","","",
"Benin","BEN","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.74788999557495","2.62665009498596","2.88869","3.23235","2.95134","3.12027","3.50804","3.63079","3.50328","3.22981","3.79566","4.22204","5.02932","","4.86816","4.54732","4.32113","4.35643","3.99469","","","",
"Burkina Faso","BFA","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","1.67982995510101","","1.9617999792099","","","1.75448000431061","","1.76396000385284","","","1.42607998847961","","","","","","3.45110011100769","","1.44026005268097","","","","","","","","","4.4326","4.47876","4.58858","","","3.93896","4.48326","4.05353","4.59384","4.55994","4.16607","","","","",
"Bangladesh","BGD","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","1.13092994689941","0.937600016593933","1.07149994373322","1.01163995265961","1.03267002105713","1.22302997112274","1.27118003368378","1.34349000453949","1.51364004611969","","","1.51911997795105","1.42566001415253","1.63177001476288","1.69262003898621","","","","1.95246994495392","","2.13281989097595","2.12508","2.17193","2.01715","2.06939","1.94014","","2.13129","2.20222","2.05457","1.93942","","2.1327","2.1755","1.96616","","","1.53554","2.47255","1.98602","",
"Bulgaria","BGR","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","3.52947998046875","","","","","","","","","","4.45406007766724","5.42961978912354","5.26045989990234","4.95048999786377","4.1706600189209","3.4470100402832","2.71198010444641","","2.75566005706787","","","3.41018","3.41238","4.02938","2.33781","4.14106","3.93202","3.68211","4.22437","4.28575","3.86346","3.56303","3.50203","4.07685","","","","","","",
"Bahrain","BHR","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.87436","2.575","2.49678","","","","2.64531","2.47688","2.46746","2.66808","","2.32721","","",
"Bahamas, The","BHS","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.23284","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.00001001358032","6.19662","","","","5.71226","5.87103","6.07696","5.1521","","4.36894","5.09167","4.68479","4.95964","5.00942","4.81831","4.78752","4.94655","4.82003","","",
"Belize","BLZ","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.44343996047974","5.02843","5.79693","","5.20682","5.29927","","","","5.68789","6.10014","6.62963","","","6.2572","6.4953","6.76618","7.12481","7.37876","","",
"Bermuda","BMU","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","2.88210010528564","","2.40959000587463","","","","","","","","","","2.31681990623474","","","","","2.394779920578","2.46546006202698","2.68801999092102","","","","","","2.15247011184692","","","","","1.66627","1.77588","1.98877","","","","2.58609","2.5852","","","","1.75958","1.6986","","1.50039","","",
"Bolivia","BOL","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.78421020507813","5.60817003250122","4.65741014480591","","5.52300977706909","5.65931987762451","5.47342","5.89946","6.23031","6.37904","","","6.31361","","7.03973","8.0812","7.60011","6.88847","6.42524","6.25793","7.28535","","","","","",
"Brazil","BRA","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.56816005706787","","","4.75665998458862","3.80062007904053","3.94893","3.84468","3.75037","","3.97448","4.47908","4.8706","4.97426","5.26884","5.46355","5.6488","5.73741","5.8551","5.83885","5.94848","6.24106","","","","",
"Barbados","BRB","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","5.94479990005493","6.51715993881226","","","","","","","","","","","","","","6.60199022293091","","","","","","","","4.25458002090454","4.62151","5.93509","5.76335","6.12136","5.90407","5.55696","","5.27164","4.92445","5.11939","6.03487","","5.2589","5.09774","6.22941","","5.09272","4.65652","","",
"Brunei Darussalam","BRN","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","6.23915004730225","4.99501991271973","4.03928995132446","8.79329013824463","3.39270997047424","1.96133995056152","1.97008001804352","","2.11423993110657","1.54551994800568","1.1910799741745","1.61678004264832","1.69714999198914","","","","","4.73773002624512","5.40902996063232","4.69012022018433","3.95995998382568","3.66894006729126","3.74768996238709","4.29403018951416","","","","","5.25395011901855","4.9320502281189","3.70591","","","","","","","","","","2.04661","3.3221","2.88959","","3.35319","","4.42541","","","",
"Bhutan","BTN","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.51379","5.7178","","","6.41799","7.0781","","","4.7975","4.62672","4.02447","4.65258","","5.58966","5.90333","7.38966","6.80249","7.02813","6.64043","",
"Botswana","BWA","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","4.38723993301392","3.90638995170593","3.2627899646759","3.67424011230469","5.64942979812622","6.06396007537842","5.40031003952026","5.95213985443115","6.14172983169556","5.46931982040405","","","5.55226993560791","5.55166006088257","5.65072011947632","5.18592977523804","6.11773014068604","6.15111017227173","","5.73963022232056","","6.84061002731323","","","","","","","","","","","","","10.67859","","8.85149","","9.63292","","","","","","","","","","",
"Central African Republic","CAF","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","3.17053008079529","","","","","","","","2.20775008201599","2.54804992675781","","","2.2441999912262","2.27630996704102","","","","","","","","1.69001996517181","1.61265","","1.51957","1.5398","1.62453","1.65222","1.41506","1.31332","1.29001","1.30355","1.20455","1.22862","","","","","","","","",
"Canada","CAN","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","7.71018981933594","7.61540985107422","7.03749990463257","6.68963003158569","6.4429497718811","6.72099018096924","6.73353004455566","7.09767007827759","6.71474981307983","6.48467016220093","6.43061017990112","6.51913976669312","6.88043022155762","6.64404010772705","6.2128701210022","6.04418992996216","6.32446002960205","6.17614984512329","6.09832000732422","5.9919900894165","6.88430023193359","6.77093982696533","7.70425987243652","6.68001985549927","6.32445001602173","","","5.51196002960205","5.54994010925293","5.44201","4.96958","5.01073","","","4.78215","","4.78036","4.63826","4.85264","5.36993","5.27444","","","","","","","","",
"Central Europe and the Baltics","CEB","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","4.36030006408691","4.3221001625061","4.39031982421875","4.49742984771729","4.35318994522095","4.29914999008179","4.3356499671936","4.29061985015869","4.35699987411499","4.26673984527588","4.52294015884399","4.68063020706177","","5.09206008911133","5.05530023574829","5.05943012237549","5.0719199180603","","4.88702011108398","4.89023017883301","4.7814","4.95981","5.31429","5.52376","5.44573","5.2041","4.96158","4.68738","4.86799","5.04118","4.92605","4.96986","5.03337","5.04048","5.05123","5.10057","5.11332","","","",
