Country,2012,2013,2014,2015,2016
Australia,0.09695576920958693,0.029559072380574956,-0.041903224694073385,-0.03890794079162555,-0.1118641038436458
Canada,0.01990875404683285,-0.0030554275583742174,-0.03741059786431964,-0.10129083696427091,-0.004822473527255693
France,-0.05066228200428096,0.060855562044762834,0.03164246507176685,-0.15099327816724475,0.10074284590048273
Germany,-0.054379868734242644,0.08308866553677297,0.05047106500503455,-0.12586305783683932,0.04131605280280069
Italy,-0.08742687128940342,0.02452374324849399,0.009498993112537836,-0.16395758958250295,0.014182451800530687
Japan,0.026259501133918155,-0.16552061187172296,-0.05729284634171336,-0.0920796480679369,0.12131023349620407
South Korea,0.025489223046721,0.09242593222179357,0.11692472559921675,0.015074130746431078,0.06969296885120357
Mexico,0.048099882948218944,0.10349053780829238,-0.04407142538228314,-0.079260467077619,-0.12260446858399432
United Kingdom,0.009017103464986194,0.1474075398100859,0.09515152087643862,-0.03791141853967537,-0.08334634594816288
United States,0.041132661382437,0.04282293452251357,0.7566330164751812,0.06691260630084733,0.04119741941232028
Brazil,-0.04666358825872179,0.0008634447596045055,0.023121195825995904,-0.23889563308349498,0.02539984125493158
India,-0.003313280957518919,-0.05694016666707657,0.08744087149602137,0.11100679355361005,0.09795472792425874
Indonesia,0.12037654164679866,0.05622379812488469,0.13339807353246838,0.08989169267920995,0.24721533075691637
Russia,0.12995076291681096,0.046289198850458756,-0.09421668612008297,-0.35802820401514346,-0.08865442851209829
South Africa,-0.00613841510728686,-0.08540754459353733,-0.03243942690970102,-0.06706435228242126,-0.07394589033383084
Turkey,0.0033045413626794614,0.05863629363630962,-0.03915919535680782,-0.11785208844561727,0.051367040480659466
China,0.23288574319089192,0.18867902630887198,0.1317961835183328,0.11347717268930235,-0.006701155104752341
Argentina,0.11207410165428647,0.028847706237329504,-0.031794870408100494,0.21620216329499475,-0.2281161399313499
Saudi Arabia,0.20887926300403412,0.1487221748813003,0.21613922468787852,-0.04774807246850439,-0.06569029802682519
